chart_url,symbol,Type,duration,price,trend,Primary_Trade_Strategy,Secondary_Trade_Strategy,support1,support2,support3,resistance1,resistance2,resistance3,Forecast,trend_meter,key_news1,key_news2,key_news3,key_news4,,Entry,Target1,Target2,StopLoss
https://res.cloudinary.com/dejlkojff/image/upload/v1749450479/chart_2025060910/EURUSD.jpg,EURUSD,Buy Limit,Intraday,1.14353,Uptrend with Range-Bound Price Action: Consolidation within a defined upward range.,"Plan a LONG trade within the price 1.14040 range, set the profit targets at 1.14970 and 1.15520 with a stop-loss at 1.13300 to manage risk ",,1.1433,1.1405,1.13823,1.1465,1.148,1.151,1-3 Days,2,,,,,,1.1404,1.1497,1.1552,1.1330
https://res.cloudinary.com/dejlkojff/image/upload/v1749450480/chart_2025060910/GBPUSD.jpg,GBPUSD,Buy Limit,Intraday,1.35748,Uptrend with Range-Bound Price Action: Consolidation within a defined upward range.,"Plan a LONG trade within the price 1.35300 range, set the profit targets at 1.35950 and 1.36340 with a stop-loss at 1.34780 to manage risk effectively",,1.3538,1.3512,1.3485,1.3612,1.3638,1.3657,1-3 Days,2,,,,,,1.353,1.3595,1.3634,1.3478
https://res.cloudinary.com/dejlkojff/image/upload/v1749450475/chart_2025060910/AUDUSD.jpg,AUDUSD,Buy Limit,Intraday,0.65286,Uptrend with Range-Bound Price Action: Consolidation within a defined upward range.,"Plan a LONG trade within the price 0.65010 range, set the profit targets at 0.65610 and 0.65970 with a stop-loss at 0.64530 to manage risk effectively",,0.6501,0.6481,0.6456,0.6538,0.6554,0.6601,1-3 Days,2,,,,,,0.6501,0.6561,0.6597,0.6453
https://res.cloudinary.com/dejlkojff/image/upload/v1749450481/chart_2025060910/NZDUSD.jpg,NZDUSD,Buy Limit,Intraday,0.60602,Uptrend with Retracement: Brief pullback before resuming bullish trend.,"Plan a LONG trade within the price 0.60330 range, set the profit targets at 0.60980 and 0.61370 with a stop-loss at 0.59810 to manage risk effectively",,0.6052,0.6037,0.6012,0.6083,0.6106,0.6012,1-3 Days,1,,,,,,0.6033,0.6098,0.6137,0.5981
https://res.cloudinary.com/dejlkojff/image/upload/v1749450484/chart_2025060910/USDCHF.jpg,USDCHF,Sell Limit,Intraday,0.81964,Downtrend with Pullback: Temporary upward correction before resuming downtrend.,"Plan a SHORT trade within the price 0.82170 range, set the profit targets at 0.79920 and 0.78570 with a stop-loss at 0.83970 to manage risk effectively",,0.814,0.8123,0.81,0.8362,0.838,0.8395,1-3 Days,-1,,,,,,0.8217,0.7992,0.7857,0.8397
https://res.cloudinary.com/dejlkojff/image/upload/v1749450486/chart_2025060910/USDJPY.jpg,USDJPY,Sell Limit,Intraday,144.045,Downtrend with Pullback: Temporary upward correction before resuming downtrend.,"Plan a SHORT trade within the price 143.050 range, set the profit targets at 141.850 and 141.130 with a stop-loss at 144.010 to manage risk effectively",,143.12,142.6,141.85,144.05,145.05,145.6,1-3 Days,-1,,,,,,143.05,141.850,141.130,144.010
https://res.cloudinary.com/dejlkojff/image/upload/v1749450483/chart_2025060910/USDCAD.jpg,USDCAD,Sell Limit,Intraday,1.36732,Downtrend with Range-Bound Price Action: Consolidation within defined support and resistance levels.,"Plan a SHORT trade within the price 1.37010 range, set the profit targets at 1.36390 and 1.36010 with a stop-loss at 1.37510 to manage risk effectively",,1.3624,1.3587,1.3543,1.3725,1.3738,1.38551,1-3 Days,-2,,,,,,1.3701,1.3639,1.3601,1.3751
https://res.cloudinary.com/dejlkojff/image/upload/v1749450488/chart_2025060910/XAUUSD.jpg,XAUUSD,Buy Limit,Intraday,3318.92,Neutral: Expecting Trend confimation,"Plan a LONG trade within the price 3301.00 range, set the profit targets at 3337.25 and 3359.00 with a stop-loss at 3272.00 to manage risk effectively",,3285,3240,3225,3322,3345,3368,1-3 Days,0,,,,,,3301,3337.25,3359.00,3272.00
https://res.cloudinary.com/dejlkojff/image/upload/v1749450487/chart_2025060910/XAGUSD.jpg,XAGUSD,Buy Limit,Intraday,36.195,Uptrend with Range-Bound Price Action: Consolidation within a defined upward range.,"Plan a LONG trade within the price 35.750 range, set the profit targets at 39.500 and 41.75 with a stop-loss at 32.750 to manage risk effectively",,35.55,34.9,34.05,37,38.25,39.92,1-3 Days,2,,,,,,35.75,39.500,41.750,32.750
https://res.cloudinary.com/dejlkojff/image/upload/v1749450487/chart_2025060910/WTI_OIL.jpg,WTI_OIL,Buy Limit,Intraday,63.891,Uptrend with Retracement: Brief pullback before resuming bullish trend.,"Plan a LONG trade within the price 63.53 range, set the profit targets at 65.02 and 65.91 with a stop-loss at 62.34 to manage risk effectively",,62.45,60.41,60.05,65.05,67.05,68.4,1-3 Days,1,,,,,,63.53,65.018,65.910,62.340
https://res.cloudinary.com/dejlkojff/image/upload/v1749450478/chart_2025060910/DJ30.jpg,DJ30,Buy Limit,Intraday,42809.5,Uptrend with Retracement: Brief pullback before resuming bullish trend.,"Plan a long trade within the price 42655.00 range, set the profit targets at 43338.75 and 43749.00 with a stop-loss at 42108.00 to manage risk effectively",,41500,41020,39850,43020,43529,43650,1-3 Days,1,,,,,,42655,43338.75,43749.00,42108.00
https://res.cloudinary.com/dejlkojff/image/upload/v1749450482/chart_2025060910/UK100.jpg,UK100,Buy Limit,Intraday,8831.49,Uptrend with Retracement: Brief pullback before resuming bullish trend.,"Plan a LONG trade within the price 8806.00 range, set the profit targets at 9646.00 and 10150.00 with a stop-loss at 8134.00 to manage risk effectively",,8820,8780,8725,8861,8875,8920,1-3 Days,1,,,,,,8806,9646.00,10150.00,8134.00
